Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 10,[0.013605382230877877],[0.38435],[0.0016987163918092847],[0.935],[3204.989686751],72.90150957400628,26091520000,2024-07-14 21:37:08
client 7,[0.007330517595137159],[0.6646166666666666],[0.0009994258834514767],[0.9578],[2507.842575157],59.75913355500026,26091520000,2024-07-14 22:50:14
client 3,[0.006332267515361309],[0.7144333333333334],[0.0007878793878480792],[0.9662],[2365.8715198699997],55.92541121599048,26091520000,2024-07-15 00:01:18
client 1,[0.0056732625249773265],[0.7492333333333333],[0.0007658777988399379],[0.9665],[2374.9626082890004],56.04895597500813,26091520000,2024-07-15 01:11:18
client 11,[0.005171433893591166],[0.76735],[0.0007631399602978491],[0.9667],[2403.752473909],57.23877260600081,26091520000,2024-07-15 02:21:37
client 14,[0.005750321178448697],[0.73855],[0.000749538525682874],[0.9681],[2347.609643622],55.62831951600111,26091520000,2024-07-15 03:31:35
client 6,[0.004685775085600714],[0.7945],[0.0006467754474491813],[0.9726],[2336.578324993],55.735068670004395,26091520000,2024-07-15 04:42:18
client 4,[0.004724939421005547],[0.7911666666666667],[0.0007150899088243023],[0.9695],[2328.607268742],56.28264600199721,26091520000,2024-07-15 05:52:15
client 12,[0.004389011543927093],[0.8069833333333334],[0.0006792395319091156],[0.9708],[2309.616016365],55.43702016500551,26091520000,2024-07-15 07:01:42
client 8,[0.00429979376544555],[0.8092],[0.0006096211654687067],[0.9738],[2294.857735517],56.138938655996,26091520000,2024-07-15 08:11:18
