Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,678,0.604635,0.333615,33.789062,1.393756,12.808621
8,3,10.1.3.8,10.1.3.11,1024,604,0.538642,0.389418,41.015625,1.116547,12.803583
4,5,10.1.3.4,10.1.3.11,1024,552,0.492269,0.381468,46.093750,1.093288,12.795696
9,7,10.1.3.9,10.1.3.11,1024,632,0.563612,0.532134,38.281250,1.481037,12.810365
7,8,10.1.3.7,10.1.3.11,1024,449,0.400414,0.435037,56.152344,1.024221,12.790408
3,10,10.1.3.3,10.1.3.11,1024,482,0.429843,0.550980,52.929688,1.489398,12.800942
10,13,10.1.3.10,10.1.3.11,1024,3,0.002675,0.304944,99.707031,0.306711,12.764488
5,14,10.1.3.5,10.1.3.11,1024,3,0.002675,0.343875,99.707031,0.344488,12.760761
1,15,10.1.3.1,10.1.3.11,1024,617,0.550235,0.440641,39.746094,1.498463,12.801205
6,16,10.1.3.6,10.1.3.11,1024,3,0.002675,1.389884,99.707031,1.390656,12.764469
